net_profit,current_assets,total_inventory,proprtor_capt_reserves,total_debt,capital_allowance,installment_tax_paid,tax_payable_IT,sales_exempt,output_VAT,input_VAT,VAT_payable,less_crdt_bal_prv_mnth,WVAT - credit,VAT_advance_paid,paye_payable,current_ratio,quick_ratio,Gearing_ratio,total_liabilities,payment_time
12203754.25,12691909,11501277,17442023.13,0,0,30000,3892104.498,329935.625,33940766.78,31376019.17,2564747.61,0,0,37416,51425.3,2.207331951,0.207070509,0,5749886.87,1
-738132,116194,31867,-831309,1273675,75187.5,0,0,0,745604.22,649415.89,96188.33,0,0,0,89360,0.912112411,0.661959337,-1.532131855,1401065,1
-8317999.75,167610171.3,903084,66261067.99,82970981.25,5292318.225,289658.75,3892104.498,0,63027825.07,33210906.12,-6367670.829,7877323.808,3289713.125,330826.6063,2713136.47,1.416096991,1.408467057,1.252182975,201331639,1
8738278,48235743,0,52544157,0,1164604.71,289658.75,3892104.498,329935.625,33328962.22,5440872.17,9093209.121,50027.68,1303139,330826.6063,7830261.319,1.373454276,1.373454276,0,35120021,1
-8317999.75,10723211,0,66261067.99,82970981.25,5292318.225,0,116289.1,15150,14609969.07,11786010.89,1216395.21,543899.02,1063663.95,330826.6063,399069.1,10.75931928,10.75931928,1.252182975,83967625.25,1
12203754.25,35057606,0,66261067.99,82970981.25,4310.3,289658.75,3892104.498,0,5417327.25,1107385.08,4288782.31,21159.86,0,0,0,2.500553925,2.500553925,1.252182975,96990917.25,1
12203754.25,167610171.3,0,66261067.99,9006330,230961.14,289658.75,3892104.498,0,6531786.18,600582.86,5210545.85,627255.47,93402,0,6984881.9,11.42498949,11.42498949,0.135921896,23676818,1
12203754.25,167610171.3,15326245,66261067.99,47000000,1672881.9,289658.75,3892104.498,0,63027825.07,9110887.2,-6367670.829,7877323.808,3289713.125,330826.6063,7830261.319,1.594532373,1.448728609,0.709315461,152115565,1
456162,78494102,15326245,34121871,17524547,1081625.53,289658.75,902326.25,0,17639292.65,4249795.5,9093209.121,8934.43,714628,330826.6063,3989013.05,2.225021513,1.790578364,0.513586931,52802454,1
12203754.25,167610171.3,15326245,66261067.99,82970981.25,5292318.225,289658.75,3892104.498,0,63027825.07,33210906.12,-6367670.829,7877323.808,3289713.125,0,7830261.319,1.416096991,1.286609327,1.252182975,201331639,1
-8317999.75,167610171.3,15326245,-39756640.79,82970981.25,2658781.98,289658.75,3892104.498,329935.625,63027825.07,33210906.12,-6367670.829,7877323.808,2652402,0,7830261.319,1.416096991,1.286609327,-2.086971625,201331639,1
1927444,6867987,458487,-9967272,7719025,985001.06,140000,54984.9,0,14673859.25,5362252.98,7078497.31,12803.96,2220305,330826.6063,1528993.6,0.164927282,0.153917213,-0.774437078,49361541,1
